 pastel woad flowers|001r||p001r_1
 latten|148r|Beautiful color for latten|p148r_1
 water|148r|Beautiful color for latten|p148r_1
 turmeric root|148r|Beautiful color for latten|p148r_1
 terra merita|148r|Beautiful color for latten|p148r_1
 Whitening|148r|Whitening|p148r_2
 silver|148r|Whitening|p148r_2
 tartar|148r|Whitening|p148r_2
 iron|148r|Whitening|p148r_2
 iron|148r|Whitening|p148r_2
 whitening|148r|Whitening|p148r_2
 silver|148r|Whitening|p148r_2
 copper|148r|Whitening|p148r_2
 whitening|148r|Whitening|p148r_2
 tartar|148r|Whitening|p148r_2
 whitening|148r|Whitening|p148r_2
 whitening|148r|Whitening|p148r_2
 pulverized tartar|148r|Whitening|p148r_2
 common salt|148r|Whitening|p148r_2
 Crocum ferri|148r|Crocum ferri|p148r_4
 filings|148r|Crocum ferri|p148r_4
 iron|148r|Crocum ferri|p148r_4
 good vinegar|148r|Crocum ferri|p148r_4
 marble|148r|Crocum ferri|p148r_4
 vinegar|148r|Crocum ferri|p148r_4
 strong plaster|148v|Molding turtles|p148v_1
 alum de plume|148v|Molding turtles|p148v_1
 crocum|148v|Molding turtles|p148v_1
 iron|149r|Softening iron and rendering it very soft|p149r_1
 sublimate|149r|Softening iron and rendering it very soft|p149r_1
 quicklime|149r|Softening iron and rendering it very soft|p149r_1
 soap from Venice|149r|Softening iron and rendering it very soft|p149r_1
 horse dung|149r|Softening iron and rendering it very soft|p149r_1
 sublimate|149r|Softening iron and rendering it very soft|p149r_1
 iron|149r|Softening iron and rendering it very soft|p149r_1
 bad linen|149r|Softening iron and rendering it very soft|p149r_1
 Base gold from Germany|149r|Base gold from Germany, electrum|p149r_2
 electrum|149r|Base gold from Germany, electrum|p149r_2
 gold from the Rhine|149r|Base gold from Germany, electrum|p149r_2
 spangle gold|149r|Base gold from Germany, electrum|p149r_2
 silver|149r|Base gold from Germany, electrum|p149r_2
 electrum|149r|Base gold from Germany, electrum|p149r_2
 metals|149r|Various arts from Germany|p149r_3
 gold|149r|Various arts from Germany|p149r_3
 silver|149r|Various arts from Germany|p149r_3
 iron wire|149r|Various arts from Germany|p149r_3
 iron|149r|Various arts from Germany|p149r_3
 wire|149r|Various arts from Germany|p149r_3
 tin|149r|Repairing a medal|p149r_4
 looking-glass tin|149r|Repairing a medal|p149r_4
 wooden|149v|Molding vases in several pieces|p149v_1
 wax|149v|Molding vases in several pieces|p149v_1
 Gold|149v|Gold solder|p149v_2
 solder|149v|Gold solder|p149v_2
 gold|149v|Gold solder|p149v_2
 fine aloé|149v|Gold solder|p149v_2
 wheat oil|149v|Molding a fly|p149v_3
 very thin silver sheet|149v|Molding a fly|p149v_3
 Wheat oil|149v|Molding a fly|p149v_3
 metal|149v|Bat|p149v_4
 wax|149v|Bat|p149v_4
 Very strong wax|150r|Very strong wax|p150r_1
 resin|150r|Very strong wax|p150r_1
 bole|150r|Very strong wax|p150r_1
 tin|150r|Various alloys of tin and lead|p150r_2
 lead|150r|Various alloys of tin and lead|p150r_2
 fine lead|150r|Various alloys of tin and lead|p150r_2
 tin|150r|Various alloys of tin and lead|p150r_2
 tin|150r|Various alloys of tin and lead|p150r_2
 fine tin|150r|Various alloys of tin and lead|p150r_2
 fine lead|150r|Various alloys of tin and lead|p150r_2
 lead|150r|Various alloys of tin and lead|p150r_2
 fine lead|150r|Various alloys of tin and lead|p150r_2
 fine tin|150r|Various alloys of tin and lead|p150r_2
 plaster|150r|Molds|p150r_3
 glowing charcoal|150r|Molds|p150r_3
 lead|150r|Molds|p150r_3
 tin|150r|Molds|p150r_3
 Brick|150r|Molds|p150r_3
 metal|150r|Molds|p150r_3
 lead|150r|Molds|p150r_3
 tin|150r|Molds|p150r_3
 Very finely ground iron scales|150r|Molds|p150r_3
 iron wire|150v|Molding hollow|p150v_1
 soft clay|150v|Molding hollow|p150v_1
 clay|150v|Molding hollow|p150v_1
 wax|150v|Molding hollow|p150v_1
 water|150v|Molding hollow|p150v_1
 clay|150v|Molding hollow|p150v_1
 lute|150v|Molding hollow|p150v_1
 wax|150v|Molding hollow|p150v_1
 wax|150v|Molding hollow|p150v_1
 tallow|150v|Molding hollow|p150v_1
 wax|150v|Molding hollow|p150v_1
 tallow|150v|Molding hollow|p150v_1
 black wax|150v|Molding hollow|p150v_1
 lead|150v|Molding hollow|p150v_1
 solder|150v|Molding hollow|p150v_1
 hot water|150v|Molding hollow|p150v_1
 wax|150v|Molding hollow|p150v_1
 hot water|150v|Molding hollow|p150v_1
 wax|150v|Molding hollow|p150v_1
 wax|150v|Molding hollow|p150v_1
 white wax|151r||p150v_1
 black sulfured wax|151r||p150v_1
 charcoal|151r||p150v_1
 ash|151r||p150v_1
 wax|151r||p150v_1
 lute|151r||p150v_1
 common lute|151r||p150v_1
 pestled brick|151r||p150v_1
 lute|151r||p150v_1
 wax|151r||p150v_1
 wax|151r||p150v_1
 charcoal|151r||p150v_1
 lute|151r||p150v_1
 plaster|151r||p150v_1
 lead|151r||p150v_1
 tin|151r||p150v_1
 lute|151r||p150v_1
 lead|151r||p150v_1
 lead|151r||p150v_1
 tin|151r||p150v_1
 lead|151r||p150v_1
 tin|151r||p150v_1
 tin|151r||p150v_1
 lead|151r||p150v_1
 crocum|151r||p150v_1
 earth|151r||p150v_1
 black wax|151r||p150v_1
 black wax|151r||p150v_1
 iron|151r||p150v_1
 iron wires|151r||p150v_1
 lead|151r||p150v_1
 tin|151r||p150v_1
 wax|151r||p150v_1
 ashes of the wax|151r||p150v_1
 earth|151v||p150v_1
 cement|151v||p150v_1
 lead|151v||p150v_1
 fine tin|151v||p150v_1
 crocum|151v||p150v_1
 paper|151v||p150v_1
 Wheat oil|151v|Wheat oil|p151v_1
 iron plates|151v|Wheat oil|p151v_1
 wheat|151v|Wheat oil|p151v_1
 black oil|151v|Wheat oil|p151v_1
 oil|151v|Wheat oil|p151v_1
 silvered|151v|Wheat oil|p151v_1
 gilded|151v|Wheat oil|p151v_1
 varnish|151v|Wheat oil|p151v_1
 iron|151v|Wheat oil|p151v_1
 varnishing|151v|Wheat oil|p151v_1
 gilded leather|151v|Wheat oil|p151v_1
 white false stones|151v|Wheat oil|p151v_1
 silver|152r|Molding a rat|p152r_1
 wheat oil|152r|Molding a rat|p152r_1
 wheat oil|152r|Molding a rat|p152r_1
 common oil|152r|Molding a rat|p152r_1
 halves of well-rounded peas|152r|Molding a rat|p152r_1
 olive oil|152r|Molding a rat|p152r_1
 wheat oil|152r|Molding a rat|p152r_1
 egg yolk|152r|Molding a rat|p152r_1
 oiling|152r|Molding a rat|p152r_1
 clay|152r|Molding a rat|p152r_1
 iron|152r|Molding a rat|p152r_1
 eau-de-vie|152r|Molding a rat|p152r_1
 oil|152r|Molding a rat|p152r_1
 biggish bones|152r|Molding a rat|p152r_1
 bones|152r|Molding a rat|p152r_1
 Butter|152r|Molding a rat|p152r_1
 wheat oil|152r|Molding a rat|p152r_1
 metal|152v|Repairing cast things|p152v_1
 plaster|152v|Repairing cast things|p152v_1
 crocum|152v|Repairing cast things|p152v_1
 tin|152v|Repairing cast things|p152v_1
 tin|152v|Repairing cast things|p152v_1
 leather|152v|Repairing cast things|p152v_1
 wax|152v|Repairing cast things|p152v_1
 delicate plate of lead|152v|Repairing cast things|p152v_1
 lead|152v|Repairing cast things|p152v_1
 latten wire|152v|Repairing cast things|p152v_1
 rosin|152v|Repairing cast things|p152v_1
 tin|152v|Repairing cast things|p152v_1
 lead|152v|Repairing cast things|p152v_1
 solder|152v|Repairing cast things|p152v_1
 tin|152v|Repairing cast things|p152v_1
 iron|152v|Repairing cast things|p152v_1
 solder|152v|Repairing cast things|p152v_1
 gold|152v|Repairing cast things|p152v_1
 lead|152v|Repairing cast things|p152v_1
 wax|153r|Molding hollow for seals or other things|p153r_1
 glass|153r|Molding hollow for seals or other things|p153r_1
 slate|153r|Molding hollow for seals or other things|p153r_1
 oil|153r|Molding hollow for seals or other things|p153r_1
 eau-de-vie|153r|Molding hollow for seals or other things|p153r_1
 hot water|153r|Molding hollow for seals or other things|p153r_1
 alloyed lead|153r|Molding hollow for seals or other things|p153r_1
 wax|153r|Molding hollow for seals or other things|p153r_1
 lead|153r|Molding hollow for seals or other things|p153r_1
 wax|153r|Molding hollow for seals or other things|p153r_1
 lead|153r|Molding hollow for seals or other things|p153r_1
 wax|153r|Molding hollow for seals or other things|p153r_1
 silver|153r|Molding hollow for seals or other things|p153r_1
 metal|153r|Molding hollow for seals or other things|p153r_1
 melted wax|153r|Molding hollow for seals or other things|p153r_1
 warm water|153r|Molding hollow for seals or other things|p153r_1
 warm urine|153r|Molding hollow for seals or other things|p153r_1
 gold|153r|Molding hollow for seals or other things|p153r_1
 silver|153r|Molding hollow for seals or other things|p153r_1
 metal|153r|Molding hollow for seals or other things|p153r_1
 wax|153r|Molding hollow for seals or other things|p153r_1
 metal|153r|Molding hollow for seals or other things|p153r_1
 lead|153r|Molding hollow for seals or other things|p153r_1
 tin|153r|Molding hollow for seals or other things|p153r_1
 crushed chalk|153r|Molding hollow for seals or other things|p153r_1
 smoked|153r|Molding hollow for seals or other things|p153r_1
 candle smoke|153r|Molding hollow for seals or other things|p153r_1
 dried glair of egg|153r|Molding hollow for seals or other things|p153r_1
 wax|153r|Molding hollow for seals or other things|p153r_1
 wax|153r|Molding hollow for seals or other things|p153r_1
 wax|153r|Molding hollow for seals or other things|p153r_1
 Lamp smoke|153r|Molding hollow for seals or other things|p153r_1
 soot black|153r|Molding hollow for seals or other things|p153r_1
 White wax|153r|Molding hollow for seals or other things|p153r_1
 crocum|153r|Giving the thickness that you wish to a medal|p153r_2
 well-ground iron scales|153r|Giving the thickness that you wish to a medal|p153r_2
 flour|153v||p153r_2
 boxwood|153v||p153r_2
 paste|153v||p153r_2
 cotton|153v||p153r_2
 paste|153v||p153r_2
 melted butter|153v||p153r_2
 paste|153v||p153r_2
 paste|153v||p153r_2
 olive oil|153v||p153r_2
 clay|153v||p153r_2
 sheets of lead & copper|153v||p153r_2
 carton|153v||p153r_2
 paste|153v||p153r_2
 oil|153v||p153r_2
 oil|153v||p153r_2
 butter|153v||p153r_2
 paste|153v||p153r_2
 hot water|153v||p153r_2
 butter|153v||p153r_2
 gold|153v|Making gold doux|p153v_2
 gold|153v|Making gold doux|p153v_2
 cement|153v|Making gold doux|p153v_2
 antimony|153v|Making gold doux|p153v_2
 verdet|153v|Making gold doux|p153v_2
 Gold|154r|Gold not being fixed|p154r_1
 Gold as gilding|154r|Gold not being fixed|p154r_1
 lead|154r|Gold not being fixed|p154r_1
 lead|154r|Gold not being fixed|p154r_1
 gold|154r|Gold not being fixed|p154r_1
 ☿|154r|Gold not being fixed|p154r_1
 lead|154r|Cutting lead|p154r_2
 glass|154r|Cutting lead|p154r_2
 gold|154r|Cutting lead|p154r_2
 silver|154r|Cutting lead|p154r_2
 whitening|154r|Cutting lead|p154r_2
 bullitoire|154r|Cutting lead|p154r_2
 silver|154r|Sweetening silver|p154r_3
 dry mortar|154r|Sweetening silver|p154r_3
 good lime|154r|Sweetening silver|p154r_3
 realsilver|154r|Sweetening silver|p154r_3
 leady|154r|Sweetening silver|p154r_3
 solder|154r|Sweetening silver|p154r_3
 copper|154r|Sweetening silver|p154r_3
 silver|154r|Sweetening silver|p154r_3
 fine copper|154r|Sweetening silver|p154r_3
 Iron scales|154r|Iron scales|p154r_4
 marble|154r|Iron scales|p154r_4
 lead|154r|Iron scales|p154r_4
 tin|154r|Iron scales|p154r_4
 Copper|154r|Iron scales|p154r_4
 latten|154r|Iron scales|p154r_4
 crocum|154r|Iron scales|p154r_4
 Metal filings|154r|Metal filings|p154r_5
 metal|154r|Metal filings|p154r_5
 Tin and lead filings|154r|Metal filings|p154r_5
 tallow|154r|Metal filings|p154r_5
 the one of gold|154r|Metal filings|p154r_5
 salpeter|154r|Metal filings|p154r_5
 one of silver|154r|Metal filings|p154r_5
 sandever|154r|Metal filings|p154r_5
 Latten|154v|Latten|p154v_1
 sal ammoniac|154v|Latten|p154v_1
 red copper|154v|Latten|p154v_1
 tin|154v|Latten|p154v_1
 melted glass|154v|Latten|p154v_1
 silver|154v|The casting of silver|p154v_3
 Silver|154v|The casting of silver|p154v_3
 gold|154v|The casting of silver|p154v_3
 Silver|154v|The casting of silver|p154v_3
 water|154v|The casting of silver|p154v_3
 gold|154v|The casting of silver|p154v_3
 solder|154v|The casting of silver|p154v_3
 bran|154v|The casting of silver|p154v_3
 solder|154v|The casting of silver|p154v_3
 wheat oil|154v|Reinforcing flowers and delicate things|p154v_4
 melted butter|154v|Reinforcing flowers and delicate things|p154v_4
 wheat oil|154v|Reinforcing flowers and delicate things|p154v_4
 solder|154v|Strawberries|p154v_5
 tin|154v|Strawberries|p154v_5
 latten wire|154v|Strawberries|p154v_5
 solders|154v|Strawberries|p154v_5
 solder|155r|Molding a rose|p155r_1
 sand|155r|Molding a rose|p155r_1
 melted butter|155r|Molding a rose|p155r_1
 ashes|155r|Molding a rose|p155r_1
 wax|155r|Molding a rose|p155r_1
 wax|155r|Molding a rose|p155r_1
 wax|155r|Molding a rose|p155r_1
 melted butter|155r|Molding a rose|p155r_1
 lead|155r|Molding a rose|p155r_1
 tin|155r|Molding a rose|p155r_1
 tinned latten|155r|Molding a rose|p155r_1
 eau-de-vie|155r|Molding a rose|p155r_1
 clay|155r|Molding a rose|p155r_1
 oil|155r|Molding a rose|p155r_1
 wax|155r|Molding a rose|p155r_1
 water|155r|Molding a rose|p155r_1
 water|155r|Molding a rose|p155r_1
 earth|155r|Molding a rose|p155r_1
 tin|155v|Rose|p155v_1
 solders|155v|Rose|p155v_1
 latten wire|155v|Rose|p155v_1
 solders|155v|Rose|p155v_1
 tin|155v|Rose|p155v_1
 solder|155v|Rose|p155v_1
 solder|155v|Rose|p155v_1
 glues|155v|Rose|p155v_1
 fish glue|155v|Rose|p155v_1
 tin|155v|Rose|p155v_1
 glue|155v|Rose|p155v_1
 modelling wax|155v|Rose|p155v_1
 white wax|155v|Rose|p155v_1
 well-ground ceruse|155v|Rose|p155v_1
 lead white|155v|Rose|p155v_1
 iron|155v|Rose|p155v_1
 gold|155v|Rose|p155v_1
 silver|155v|Rose|p155v_1
 solder|155v|Rose|p155v_1
 metals|155v|Rose|p155v_1
 fish glue|155v|Rose|p155v_1
 colored wax|156r|Molding promptly and reducing a hollow form to a relief|p156r_1
 lead|156r|Molding promptly and reducing a hollow form to a relief|p156r_1
 tin|156r|Molding promptly and reducing a hollow form to a relief|p156r_1
 wax|156r|Molding promptly and reducing a hollow form to a relief|p156r_1
 wax|156r|Molding promptly and reducing a hollow form to a relief|p156r_1
 gold|156r|Molding promptly and reducing a hollow form to a relief|p156r_1
 silver|156r|Molding promptly and reducing a hollow form to a relief|p156r_1
 metal|156r|Molding promptly and reducing a hollow form to a relief|p156r_1
 bread pith|156r|Molding promptly and reducing a hollow form to a relief|p156r_1
 melted wax|156r|Molding promptly and reducing a hollow form to a relief|p156r_1
 gold|156r|Very light and hollow work of gold|p156r_2
 base silver|156r|Very light and hollow work of gold|p156r_2
 gild|156r|Very light and hollow work of gold|p156r_2
 gilding|156r|Very light and hollow work of gold|p156r_2
 gilding|156r|Very light and hollow work of gold|p156r_2
 good aquafortis|156r|Very light and hollow work of gold|p156r_2
 silver|156r|Very light and hollow work of gold|p156r_2
 gold|156r|Very light and hollow work of gold|p156r_2
 amalgamated gold|156r|Very light and hollow work of gold|p156r_2
 aquafortis|156r|Very light and hollow work of gold|p156r_2
 base silver|156r|Very light and hollow work of gold|p156r_2
 Lead|156r|Chasing|p156r_3
 great metals|156r|Chasing|p156r_3
 olive oil|156v|Molding a fly|p156v_1
 silver|156v|Molding a fly|p156v_1
 gold|156v|Molding a fly|p156v_1
 wax, melted|156v|Molding a fly|p156v_1
 iron wire|156v|Molding a fly|p156v_1
 melted butter|156v|Molding a fly|p156v_1
 iron wire|156v|Molding a fly|p156v_1
 wheat oil|156v|Molding a fly|p156v_1
 olive oil|156v|Molding a fly|p156v_1
 wheat oil|156v|Molding a fly|p156v_1
 eau-de-vie|156v|Molding a fly|p156v_1
 tallow|156v|Molding a fly|p156v_1
 pork fat|156v|Molding a fly|p156v_1
 butter|156v|Molding a fly|p156v_1
 silver|156v|Molding a fly|p156v_1
 tin|156v|Molding a fly|p156v_1
 gold|156v|Molding a fly|p156v_1
 silver|156v|Molding a fly|p156v_1
 solder|156v|Molding a fly|p156v_1
 metal|156v|Molding a fly|p156v_1
 enamelled|156v|Molding a fly|p156v_1
 gold|156v|Molding a fly|p156v_1
 enamels|156v|Molding a fly|p156v_1
 window glass from Lorraine|156v|Molding a fly|p156v_1
 melted wax|156v|Molding a fly|p156v_1
 iron|156v|Molding a fly|p156v_1
 wax|156v|Molding a fly|p156v_1
 tin|156v|Molding a fly|p156v_1
 gold|156v|Molding a fly|p156v_1
 silver|156v|Molding a fly|p156v_1
 glue|156v|Molding a fly|p156v_1
 fish glue|156v|Molding a fly|p156v_1
 glue|156v|Molding a fly|p156v_1
 modelling wax|156v|Molding a fly|p156v_1
 white wax|156v|Molding a fly|p156v_1
 ceruse|156v|Molding a fly|p156v_1
 lead white|156v|Molding a fly|p156v_1
 iron|156v|Molding a fly|p156v_1
 spinet strings|156v|Molding a fly|p156v_1
 glue|156v|Molding a fly|p156v_1
 glue|156v|Molding a fly|p156v_1
 melted wax|156v|Molding a fly|p156v_1
 cuttlefish bones|157r|A means for goldsmiths for molding hollow|p157r_1
 wax|157r|A means for goldsmiths for molding hollow|p157r_1
 lead|157r|A means for goldsmiths for molding hollow|p157r_1
 cuttlefish bones|157r|A means for goldsmiths for molding hollow|p157r_1
 bones|157r|A means for goldsmiths for molding hollow|p157r_1
 paper|157r|A means for goldsmiths for molding hollow|p157r_1
 bones|157r|A means for goldsmiths for molding hollow|p157r_1
 gold|157r|A means for goldsmiths for molding hollow|p157r_1
 silver|157r|A means for goldsmiths for molding hollow|p157r_1
 solder|157r|A means for goldsmiths for molding hollow|p157r_1
 Rouge clair|157r|Rouge clair|p157r_2
 thinly beaten esp gold|157r|Rouge clair|p157r_2
 gold ingot|157r|Rouge clair|p157r_2
 tin|157r|Cleaning and degreasing your works cast from tin and others|p157r_3
 lye|157r|Cleaning and degreasing your works cast from tin and others|p157r_3
 good ashes|157r|Cleaning and degreasing your works cast from tin and others|p157r_3
 tallow|157r|Cleaning and degreasing your works cast from tin and others|p157r_3
 fat|157r|Cleaning and degreasing your works cast from tin and others|p157r_3
 silver|157r|Arranging plants or flowers for casting|p157r_4
 ashes|157r|Arranging plants or flowers for casting|p157r_4
 glue|157r|Flies|p157r_5
 fish glue|157r|Flies|p157r_5
 wax|157r|Flies|p157r_5
 pork hair|157r|Flies|p157r_5
 spinet string|157r|Flies|p157r_5
 clay|157r|Flies|p157r_5
 wax|157r|Flies|p157r_5
 Ash|157v|Ash in the molds|p157v_1
 ashes|157v|Ash in the molds|p157v_1
 clay|157v|Molding a bird|p157v_2
