folio,folio_display,div_id,categories,heading_tl,al_tl,bp_tl,cn_tl,def_tl,env_tl,m_tl,md_tl,ms_tl,mu_tl,pa_tl,pl_tl,pn_tl,pro_tl,sn_tl,tl_tl,tmp_tl,wp_tl,de_tl,ge_tl,it_tl,la_tl,oc_tl,po_tl
142v,142v,p142v_3,casting,Lute for luting your molds,horse,,,,,Lute;luting;lean earth of which the founders of artillery & bells make their trusseaulx and molds;mortar;horse dung;discarded cloth waste;shearings of cloth;lute,,half;third part,,,,,founders of artillery & bells,,Lute;luting;molds;trusseaulx;molds;mold;lute,,artillery,,,,,,
143r,143r,p143r_1,casting,Molding turtles,turtles;water turtle;those of the garrigue;snakes;Those from water;Those of the garrigue;those of the water;Those of the  garrigue,urine;urine,,,water;garrigue;water;garrigue;water;garrigue;cold;in the earth;under wheat chaff or warm manure,vinegar;eau-de-vie;urine;hot water;vinegar;eau-de-vie;urine;wheat chaff;warm manure,,,,wheat chaff,garrigue;garrigue;garrigue,,,,penknife;mold,winter;the following day,,,,,,,
143r,143r,p143r_2,casting,Molders from Foix,,,,,,sand;crocum;calcined slate;slate;sand;sand;porphyry;water,,,,,Foix,,Molders,,sieve;porphyry,,,,,,crocum,,
143r,143r,p143r_3,casting,Toad,Toad,,,,,metal;wax;metal;wax;wax;wax,,,,,,,,,mold;mold;mold;molds,,,,,,,,
143v,143v,p143v_1,casting,Carcanets made à jour,crayfish,,,,,clay;wax;wax;clay,,,,,,,,,frames,,,,,,,,
143v,143v,p143v_2,casting,Iron filings,,,,,,Iron filings;filings;filth;impurities;clear water;water;good filings,,,,,,,,,,,,,,,,,
143v,143v,p143v_3,casting,Carnations,,,,,,leaves & sheets of silver,,,,Carnations,,,,,,,,,,,,,
144r,144r,p144r_1,casting,Turtles,Turtles;Those of water;those of the garrigue;those of the water;turtle;turtle;turtle;turtle;snakes;lizards;turtle;turtle;turtle;turtle;turtle;crayfish;turtle,urine;finger,,,water;garrigue;water,vinegar;urine;clay;fresh clay;grain of yellow millet;grain of large amaranth;some of small;grain of rapeseed;iron;clay;sand;clay;clay;clay;oil;hot water;sand;eau-de-vie;sand;oiled;Hot water;tempered sand;water;oil;clay;clay;iron wire;clay;clay;oiled;eau-de-vie;water;sand;sal ammoniac water;hot water;oiled;oil;crocum;sand,,days,,yellow millet;large amaranth;some of small;rapeseed,garrigue,,,"so that without burning yourself, you can hold your finger in it without burning yourself",mold;small bristle brushes;clay slab;strong point;fresh clay;little pincers;pincers;iron points;clay slab;brushes;circle of clay;slab;band of clay;mold;paintbrush;finger;half mold;clay slab;half mold;clay entredeux;half mold;brushes;mold;molds;slab;iron wire points;circle;clay entredeulx;mold;half mold;molds;clamps;mold;molds,days,,,,,crocum,,smudge
145r,145r,p145r_1,casting,Casting in three frames,,,,,,bronze,,,,,,,,,frames;frames;bronze mortars;mortar;frames;mortar,,,,,,Inquire,,
145r,145r,p145r_2,casting,Cuttlefish bone,Cuttlefish,ear;hand;fingers;knee;foot,,,,Cuttlefish bone;tin;lead;bone;paper;Gold;silver;bone;gold;lute;clay;bone;wood;charcoal;charcoal;bone;charcoaled;bone;bone;bone;bone;bones;wood;sand,,"to know when it is at a good heat, dip a little piece of twisted paper into it. If it blackens it without lighting, it is at a good heat. But if it burns it & catches fire there, it is too hot",,,,,,they cry & crackle once brought near the ear,Cuttlefish bone;bone;little piece of twisted paper;bone;ear;lute;mold;bone;smooth wood;bone;bone;fingers;large square file <-e->;knee;foot;bone;bone;bone;bones;small points of wood,,,,,,,,
145v,145v,p145v_1,casting,Molding plants and flowers,hog,mouth,,,,clay;sand;wax;good eau-de-vie;iron wire;wax;clay;tempered sand;sand;sand;sal ammoniac water;fountain water;sand;thick sand;thicker tempered sand;crocum ferri;crocum;lute;sand;fine tin;lead;water;hog bristle;iron wire;iron wire;ashes;wax;wax;iron,,lb;ounces,,marigold;marigold,,,,,clay slabs;circle;contour;flat molds;long glass;large paintbrush;mold;circle;iron wire;clay closure;mold;needle;thin thread;small stick;bowl;mold;<-au en-> bowl;mold;mold;lute;penknife;mold;point of a knife;small hog bristle brushes;iron wire;mold;iron wire;bellows;mold;mouth;little pincers,,,,,,crocum ferri;crocum,,
145v,145v,p145v_2,casting,+Flowers,,finger,,,,sand;clay;luted;tin;lead;gold;silver;tin,,,,,,,,of such heat that you can hold your finger there without harm in the hole,thread;mold;clay slab;mold;table;hammer;table;luted;mold;mold;finger,,,,,,,,
146v,146v,p146v_1,casting,Molding turtles,turtles;turtle;Those of the water;those of the garrigue;turtle;turtles;turtle;turtle;turtles,,,,water;garrigue,wax;thick iron wire;wax;soft clay;clay;clay;oiled;eau-de-vie;sand;hot water;clay;clay;clay;wax;wax;iron;melted wax;melted wax;iron;wax;wax;oil;hot water;clay;water;wax;rather strong iron;melted wax;iron,,,,,garrigue,,,,"points of hot, thick iron wire;clay circle;mold;entre deulx of clay;entredeulx of clay;mold;point of hot iron;mold;hot iron;mold;circle;mold;clay contour;mold;knife;molds;mold;mold;points of rather strong iron;hot iron",,,,,,,,
147v,147v,p147v_1,casting,"+ Casting of copper alloyed with ☾, which is like very base solder / ard[illegible] and old K and some R[illegible] out of xii",,,old K,,,copper;☾;very base solder;old K;paper;silver;pure silver;☾,,,,,,,,,mold;bullitoire,,,,,,,,
147v,147v,p147v_2,casting,Lute,,,,,,Lute,,,,,,,,,Lute;molds,,,,,,,,
147v,147v,p147v_3,casting,Crucible,,fingers,,,,,,fingers,,,,,,,Crucible;bellows;bellows;crucible,,,,,,,Crucible;crucible,
147v,147v,p147v_4,casting,Casting of latten,,,,,,"latten;latten;sal ammoniac;pulverized calamine, raw & pure;paper;raw tartar;common salt;clear water;melted glass;calamine;soft latten of skillets;calamine;sour latten of candlesticks;pin filings;copper;silver",,"grains, like peas;part;half",,peas,,,,,"latten skillets, which are beaten & forged thinly;mold;scratch-brush;scratch-brush",long time,,,,,,,
148r,148r,p148r_1,casting;metal process,Beautiful color for latten,,,,,,latten;water;turmeric root or terra merita,,,,turmeric root;terra merita,,,,,scratch-brushed,,,,,,,,
148r,148r,p148r_2,metal process,Whitening,,,,,,Whitening;silver;tartar;iron;iron;whitening;silver;copper;whitening;tartar;whitening;whitening;pulverized tartar;common salt,,part;half,,,,,,,handle of a hammer,,,,,,,,
148r,148r,p148r_3,casting,"Molding the foot of the bittern, or of the eagle, or of other birds for the foot of saltcellars or vases",bittern;eagle,,,,,,,,,,,,,,,,,,,,,,
148r,148r,p148r_4,casting,Crocum ferri,,,,,,Crocum ferri;filings;iron;good vinegar;marble;vinegar,,,,,,,,,iron case;marble,,,,,,Crocum ferri,,
148v,148v,p148v_1,casting,Molding turtles,turtles;turtle;turtle,little finger,,,,strong plaster;feather alum;crocum,,of such capacity that the end of a little finger can almost enter it;days,,,,,,,mold;clamp;molds;clamped;clamps;mold;mold;mold;molds;molds;press;mold;burin;small chisel;chaple;burin;little gouge;little round cutting-punch;point of a small chisel;small file;molds,days,,,,,crocum,,
149r,149r,p149r_1,metal process,Softening iron and rendering it very soft,horse,,,,,iron;sublimate;quicklime;soap from Venice;horse dung;sublimate;iron;bad linen,,overnight in a good fire until the morning,,,Venice,,,,bad linen,overnight;morning,,,,,,,
149r,149r,p149r_2,metal process,"Base gold from Germany, electrum",,,,,rivers,Base gold from Germany;electrum;gold from the Rhine;spangle gold;silver;electrum,poison,,,,Germany;Rhine;Germany,,Goldsmiths,,,,,,,,,,
149r,149r,p149r_3,metal process,Various arts from Germany,,,,,water ,metals;gold;silver;iron wire;iron;wire,,,,,Germany,," artisans of metals, of gold, & of silver, & others",,water mills;trip hammers,,,,,,,,
149r,149r,p149r_4,casting,Repairing a medal,,,,,,tin;looking-glass tin,,,,,,,,,,,,,,,,,
149v,149v,p149v_1,casting,Molding vases in several pieces,,,,,,wooden;wax,,,,,,,Goldsmiths who work in large wares and plate,,lathe,,,,,,,,
149v,149v,p149v_2,metal process,Gold solder,,,gold denier;old douzains,,,Gold;solder;gold;fine alloy,,grain,,,,,,,,,,,,,,,
149v,149v,p149v_3,casting,Molding a fly,fly;Large flies;butterflies;cicadas;grasshoppers,made by hand,,,,wheat oil;very thin silver sheet;Wheat oil;tempered sand,,,,wheat;Wheat,,,,,,,,,,,,,
149v,149v,p149v_4,casting,Bat,Bat,,,,,metal;wax,,,,,,,,,mold,,,,,,,,
150r,150r,p150r_1,casting,Very strong wax,,,,,,Very strong wax;rosin;bole,,,,,,,,,,,,,,,,,
150r,150r,p150r_2,casting,Various alloys of tin and lead,turtles;lizards,fingers,,,,tin;lead;fine lead;tin;tin;fine tin;fine lead;lead;fine lead;fine tin,,half;half;lb;℥;fingers;lb;℥,,,,,,,,,,,,,,,
150r,150r,p150r_3,casting,Molds,,,,,,plaster;glowing charcoal;lead;tin;Brick;metal;lead;tin;Very finely ground iron scales,,,,,,,,,Molds;mold;molds;molds;molds;molds,,,,,,,,
150v,150v,p150v_1,casting,Molding hollow,turtle;turtles;turtle;turtles;turtle;turtles;snake;lizard;turtles,fingers;end of your finger,,,,iron wire;soft clay;molding sand;clay;wax;sand;water;clay;lute;sand which served for the molds;wax;wax;tallow;wax;tallow;black wax;lead;solder;hot water;wax;hot water;wax;wax;white wax;black sulfured wax;charcoal;ash;wax;lute;sand;common lute;pestled brick;lute;wax;wax;charcoal;lute;plaster;lead;tin;lute;lead;lead;tin;lead;tin;tin;lead;crocum;earth;black wax;black wax;iron;iron wires;lead;tin;wax;ashes of the wax;earth;cement;lead;fine tin;crocum;sand;paper,,fingers;half;half;half;half;half;half;thickness of the back of a knife;half;half,,,,Maistre Alexandre,Maistre,,iron wire point;mold;table;circle of soft clay;molds;clay circle;mold;mold;mold;end of your finger;small point;mold;mold;clay circle;mold;lute;molds;point;mold;mold;points;mold;mold;mold;mold;mold;mold;clamps;lute;mold;common lute;pestled;lute;lute;mold;lute;mold;back of a knife;mold;mold;hot iron <-touching-> point;mold;mold;iron wires;mold;mold;mold;bellows;small chisel;mold;burin;chaple;very sharp penknife;small file;small chisel;file;small chisel;molds;mold;press;little small chisels;round cutting-punch;gouge;file;small chisels;small cutting-punches;small gouges;small serrated chisels,long time;long time,,,,,crocum;crocum,,
151v,151v,p151v_1,casting,Wheat oil,fly,,,,,Wheat oil;iron plates;wheat;black oil;oil;silvered;gilded;varnish;iron;gilded leather;false white stones,,,,Wheat;wheat,,,makers of gilded leather,,sparkling hot iron plates,,sword guards,,,,,,
152r,152r,p152r_1,casting,Molding a rat,rat;lizard;small mouse;snakes;lizards;rat;fly;rat;rat;big rat;mouse;bird;rat;rat,,,,in the cold,silvered;wheat oil;sand;wheat oil;common oil;halves of well-rounded peas;olive oil;wheat oil;egg yolk;oiling;clay;iron;eau-de-vie;oil;sand;biggish bones;bones;Butter;wheat oil,,days,,wheat;wheat;peas;olive;wheat;wheat,Syracuse,tyrant of Syracuse,,,little candle;very thin comb;clay slab;iron point;points;mold;mold;oven;mold;mold,days,,,,,,,
152v,152v,p152v_1,casting,Repairing cast things,,foot,,,,metal;plaster;crocum;tin;tin;leather;fine sand;sand;wax;delicate plate of lead;lead;latten wire;rosin;tin;lead;solder;tin;iron;solder;gold;lead,,,,,,,goldsmith’s,,mold;mold;leather cushionet;goldsmith’s table;files;rope;foot;bag;burin;file;chaple;burin;delicate plate of lead;latten wire;hot iron;forge;small chisels;cushionet;rope,,,,,,crocum,,
153r,153r,p153r_1,casting,Molding hollow for seals or other things,,urine,,,,wax;glass;slate;sand;oil;eau-de-vie;sand;hot water;alloyed lead;wax;lead;wax;lead;wax;tempered sand;silver;metal;melted wax;warm water;warm urine;gold;silver;metal;wax;sand;metal;lead;tin;crushed chalk;candle smoke;dried glair of egg;wax;wax;wax;Lamp smoke;soot black;White wax,,,,,,,,,glass or smooth slate;paintbrush;candle,,,,,,,,
153r,153r,p153r_2,casting,Giving the thickness that you wish to a medal,,,,,,crocum;well-ground iron scales;flour;boxwood;paste;cotton;paste;melted butter;paste;paste;olive oil;clay;sheets of lead & copper;carton;paste;oil;oil;butter;paste;sand;hot water;butter,,,,boxwood;olive,,,,,mold;small stick of boxwood;rolling pin;mold;cotton;paintbrush;mold;mold;clay contour;mold;rolling pins;sheets of lead & copper;carton;rolling pin;mold,,,,,,crocum,,
153v,153v,p153v_1,casting,Testing the goodness and strength of a sand to be reheated,,,,,,sand,,,,,,,,,mold,long,,,,,,,
153v,153v,p153v_2,metal process,Softening gold,,,,,,gold;gold;cement;antimony;verdet,,,,,,,,,,,,,,,,,
154r,154r,p154r_1,metal process,Gold not being fixed,,,,,,Gold;Gold as gilding;lead;lead;gold;☿,,,,,,,,,,,,,,,,,
154r,154r,p154r_2,metal process,Cutting lead,,,,,,lead;glass;gold;silver;whitening;bullitoire,,,,,,,,,knife;chisel,,,,,,,,
154r,154r,p154r_3,metal process,Softening silver,,,reals;old sou;carolus;sou,,,silver;dry mortar;sand;good lime;silver from reals;leady;solder;copper;silver;fine copper,,half;half,,,,,goldsmiths who work large wares;Goldsmiths,,,,,,,,,,
154r,154r,p154r_4,metal process,Iron scales,,,,,,Iron scales;marble;sand of noyau;lead;tin;Copper;latten;crocum;sand,,,,,,,,,marble,,,,,,crocum,,
154r,154r,p154r_5,metal process,Metal filings,,,,,,Metal filings;metal;Tin and lead filings;tallow;the one of gold;salpeter;one of silver;sandiver,,,,,,,,,bath,,,,,,,,
154v,154v,p154v_1,casting,Latten,,,,,,Latten;sal ammoniac;red copper;tin;melted glass,,,,,,,,,,,,,,,,,
154v,154v,p154v_2,casting,Molding,,,,,,,,,,,,,,,,,,,,,,,
154v,154v,p154v_3,casting,Casting of silver,,,,,,silver;Silver;gold;Silver;water;gold;solder;bran;solder,,,,,,,,,mold,,,,,,,,
154v,154v,p154v_4,casting,Reinforcing flowers and delicate things,flies,,,,,wheat oil;melted butter;wheat oil,,,,wheat;rose;pansy;wheat,,,,,small paintbrush,,,,,,,,
154v,154v,p154v_5,casting,Strawberries,,,,,,solder;tin;latten wire;solders,,,,Strawberries;strawberry,,,,,,,,,,,,,
155r,155r,p155r_1,casting,Molding a rose,,breath,,,,solder;sand;melted butter;tempered sand;ashes;wax;wax;wax;ash;eau-de-vie;clay;oil;wax;tempered sand;sand;water;water;earth;melted butter;lead;tin;tinned latten,,,,rose;rose bush;rose;rose bush;rose;rose;rose;rose bushes;strawberry plants;rose;rose;rose ;rose,,,,,mold;mold;threads;mold;molds;mold;circle of clay,long time,,,,,,,
155v,155v,p155v_1,casting,Rose,fish;fly;fish,,,,,tin;solders;latten wire;solders;tin;solder;solder;glues;fish glue;tin;glue;modeling wax;white wax;well-ground ceruse;lead white;iron;gold;silver;solder;metals;fish glue,,,,Rose;rose;rose;rose;rose;rose,,,,,stalk of latten wire;small hot point of iron;small points;nails;molds,,,,,,,,
156r,156r,p156r_1,casting,Molding promptly and reducing a hollow form to a relief,,,,,,colored wax;sand;lead;tin;wax;wax;gold;silver;metal;bread pith;melted wax,,,,,,,,,mold,,,,,,,,
156r,156r,p156r_2,casting,Very light and hollow work of gold,lizard;lizard,,billon,,,gold;base silver;gild;gilding;gilding;good aquafortis;silver;gold;amalgamated gold;aquafortis;base silver,,,,,,,,,scratch-brush,,,,,,,,
156r,156r,p156r_3,casting,Chasing,,very light hand,,,,Lead;great metals,,,,,,,,,Chasing;burin;onglet;ordinary engraving burin;chaple;small chisels,,,,,,,,
156v,156v,p156v_1,casting,Molding a fly,fly;largest <-vo-> flies;pork;fly;fly;fly;fly;fly;fish,,,,pantries,"olive oil;silver;gold;wax, melted;iron wire;melted butter;iron wire;wheat oil;olive oil;wheat oil;eau-de-vie;tallow;pork fat;butter;silver;tin;gold;silver;solder;metal;enamelled;gold;enamels;window glass from Lorraine;melted wax;iron;wax;tin;gold;silver;glue;fish glue;glue;modeling wax;white wax;ceruse;lead white;iron;spinet strings;glue;glue;melted wax",,,spinet,olive;sage;sage;sage;wheat;olive;wheat;sage;sage,Lorraine,,,,hot iron wire point;little paintbrush;hot iron wire point;iron point;scissors;small pincers;hot iron point,,,,,,,,
157r,157r,p157r_1,casting,A means of goldsmiths for molding hollow,cuttlefish;cuttlefish,,,,,cuttlefish bones;wax;lead;cuttlefish bones;bones;paper;bones;gold;silver;solder,,,,,,,goldsmiths,,cuttlefish bones;cuttlefish bones;bones;paper;bones;chaple,,,,,,,,
157r,157r,p157r_2,painting;metal process,Rouge clair,,,,,,"Rouge clair;gold, thinly beaten <-esp-> & well burnished with a chaple;gold ingot",,,,,,,goldsmiths,,chaple,,,,,,,,
157r,157r,p157r_3,casting,Cleaning and degreasing your works cast from tin and others,,,,,,tin;lye;good ashes;tallow;fat,,,,,,,,,,,,,,,,,
157r,157r,p157r_4,casting,Arranging plants or flowers for casting,,,,,,silver;ashes,,,,,,,founders of large castings,,mold;mold,,,,,,,at the top,
157r,157r,p157r_5,casting,Flies,Flies;fly;fish;swine;fly,,,,,glue;fish glue;wax;swine bristle;spinet string;clay;wax,,,spinet,,,,,,clay slab;points;point,,,,,,,,
157v,157v,p157v_1,casting,Ash in the molds,,,,,,Ash;ashes,,,,,,,,,molds;mold;mold,,,,,,,,
157v,157v,p157v_2,casting,Molding a bird,bird;bird;solid bird,,,,,clay;butter;oil;eau-de-vie;bone;quicksilver;bones;iron wire;tempered sand;cotton cloth;feather;alum;paste of flour,,,,,,,curriers,,clay slab;mold;mold;iron wire;mold;frame;cotton cloth,,,,,,,,
157v,157v,p157v_3,tricks and sleight of hand,For making h{…} wine f{…}rs,,right <-d-> foot,,,,water;water,,,,,,,,,sock from the right <-d-> foot  that has been worn,,,,,,,,
158r,158r,p158r_1,casting,Mercury in the molds for cleaning,,,,,,Mercury;ash;☿;☿;tin;metal;small grains of ☿;☿;ash;sand;crocum;☿;☿;melted butter;☿,,,,periwinkle,,,,odor of itself,molds;mold;mold;mold;mold;mold;paintbrush;mold,,,,,,crocum,,
158v,158v,p158v_1,painting,Colors for green leaves,ox,,,,,oil;distemper;lightly ground minium;massicot;verdigris;verdigris;yellow ocher;stil de grain yellow;charcoal of peach tree pits;ox foot bone;natural flower or leaf,,,,marigold flowers;peach tree,,,,,,,,,,,,,
158v,158v,p158v_2,casting,Large molds,,,,,,metal,,,,,,,,,molds;press,,,,,,,,
158v,158v,p158v_3,casting,Candle smoke,,,,,,Candle smoke;tin;lead;lead;tin,,half,,,,,,,Candle;noyau molds;mold,,,,,,,,
158v,158v,p158v_4,casting,Gate,,,,,,oil;wax,,half of its thickness,,,,,,,,,,,,,,,
159r,159r,p159r_1,casting;wax process,Wax portraits,,,,,,Wax;wax;wax;oil;eau-de-vie;hot water;varnish;wood;wood;very hot melted wax;Lead white;white wax;ceruse;lead white,,,,,,,,,mold;mold,,,,,,,,
159r,159r,p159r_2,tool;casting,Chiseling,,,,,,,,,,,,,,,Chiseling;small chisel,,,,,,,,
